code,Title,,,
311511,البراعة اليدوية,R27,,
311512,البراعة اليدوية,R27,,
311513,البراعة اليدوية,R27,,
311521,الإتقان الحرفي,R27,,
311522,الإتقان الحرفي,R27,,
311523,الإتقان الحرفي,R27,,
311531,اتقان استخدام الأدوات الفنية,R27,,
311532,اتقان استخدام الأدوات الفنية,R27,,
311533,اتقان استخدام الأدوات الفنية,R27,,
311541,الإصلاح والصيانه,R27,,
311542,الإصلاح والصيانه,R27,,
311543,الإصلاح والصيانه,R27,,
311551,استكشاف الأعطال وإصلاحها,R27,,
311552,استكشاف الأعطال وإصلاحها,R27,,
311553,استكشاف الأعطال وإصلاحها,R27,,
,الوظائف التقنية,R28-Title,,
312561, التعلم المستمر ,R28,,
312562, التعلم المستمر ,R28,,
312563, التعلم المستمر ,R28,,
312571,تصميم المسارات والمراحل,R28,,
312572,تصميم المسارات والمراحل,R28,,
312573,تصميم المسارات والمراحل,R28,,
312581,فهم الرياضيات وتحليلاتها ,R28,,
312582,فهم الرياضيات وتحليلاتها ,R28,,
312583,فهم الرياضيات وتحليلاتها ,R28,,
312591,البرمجة وتصحيح الأخطاء,R28,,
312592,البرمجة وتصحيح الأخطاء,R28,,
312593,البرمجة وتصحيح الأخطاء,R28,,
312601,التركيز المتواصل لساعات طويلة,R28,,
312602,التركيز المتواصل لساعات طويلة,R28,,
312603,التركيز المتواصل لساعات طويلة,R28,,
,وظائف الخدمة المجتمعية,R29-Title,,
413611,الوعي المجتمعي,R29,,
413612,الوعي المجتمعي,R29,,
413613,الوعي المجتمعي,R29,,
413621,المناصرة والمؤازرة ,R29,,
413622,المناصرة والمؤازرة ,R29,,
413623,المناصرة والمؤازرة ,R29,,
413631,الاستغلال الأمثل للموارد,R29,,
413632,الاستغلال الأمثل للموارد,R29,,
413633,الاستغلال الأمثل للموارد,R29,,
413641,التعاون والتكاتف ,R29,,
413642,التعاون والتكاتف ,R29,,
413643,التعاون والتكاتف ,R29,,
413651, المساهمة المجتمعية,R29,,
413652, المساهمة المجتمعية,R29,,
413653, المساهمة المجتمعية,R29,,
, وظائف الإنقاذ و العناية,R30-Title,,
414661,الرحمة والاهتمام,R30,,
414662,الرحمة والاهتمام,R30,,
414663,الرحمة والاهتمام,R30,,
414671,المجازفة من أجل الآخرين,R30,,
414672,المجازفة من أجل الآخرين,R30,,
414673,المجازفة من أجل الآخرين,R30,,
414681,الاستجابة للأزمات,R30,,
414682,الاستجابة للأزمات,R30,,
414683,الاستجابة للأزمات,R30,,
414691,رعاية المرضي,R30,,
414692,رعاية المرضي,R30,,
414693,رعاية المرضي,R30,,
414701,الالتزام بالبروتوكولات,R30,,
414702,الالتزام بالبروتوكولات,R30,,
414703,الالتزام بالبروتوكولات,R30,,
,وظائف الخدمة الفاخرة,R31-Title,,
415711,خدمة العملاء,R31,,
415712,خدمة العملاء,R31,,
415713,خدمة العملاء,R31,,
415721,التعامل برقي وأناقة,R31,,
415722,التعامل برقي وأناقة,R31,,
415723,التعامل برقي وأناقة,R31,,
415731,الخدمة الفارهة,R31,,
415732,الخدمة الفارهة,R31,,
415733,الخدمة الفارهة,R31,,
415741,فهم احتياجات الأفراد,R31,,
415742,فهم احتياجات الأفراد,R31,,
415743,فهم احتياجات الأفراد,R31,,
415751,احترام الثقافات المختلفة,R31,,
415752,احترام الثقافات المختلفة,R31,,
415753,احترام الثقافات المختلفة,R31,,
,الوظائف الخدمية الاساسية,R32-Title,,
416761,تحمل متطلبات الآخرين,R32,,
416762,تحمل متطلبات الآخرين,R32,,
416763,تحمل متطلبات الآخرين,R32,,
416771,الالتزام بمعايير النظافة,R32,,
